Chapter,Card,Stage,Score,Empathy,Passion,Stamina,Wisdom,Item
1,1,2,2554,30,200,30,150,몰라 몰라
1,1,4,3153,150,30,30,200,몰라 몰라
1,1,6,3752,30,150,200,30,검은 띠
1,1,9,4391,200,30,150,30,몰라 몰라
1,1,11,5203,30,200,30,150,명랑 소년

2,2,3,11267,30,10,170,200,몰라 몰라
2,2,5,11501,170,200,10,30,검은 띠
2,2,8,11825,10,170,30,200,검은 띠
2,2,10,12058,200,30,10,170,검은 띠
2,2,12,12291,30,170,200,10,명랑 소년

3,3,2,19777,20,20,200,180,명랑 소년
3,3,4,20135,200,180,20,20,명랑 소년
3,3,7,20643,20,200,20,180,검은 띠
3,3,9,21000,200,180,20,20,명랑 소년
3,3,11,21357,180,20,200,20,신나
